percent,state,county
72.2,28,151
19.7,28,111
31.2,28,019
7.2,28,057
34.6,28,015
43.4,28,043
85.9,28,063
25.5,28,041
47.9,28,093
71.6,28,119
64.3,28,011
20.0,28,073
29.0,28,081
53.5,28,113
49.4,28,135
23.1,28,129
19.3,28,131
49.2,28,149
35.8,28,023
60.9,28,069
43.4,28,097
37.1,28,105
12.8,28,109
42.0,28,079
72.2,28,103
21.1,28,099
20.5,28,121
29.3,28,137
33.2,28,077
49.9,28,107
40.7,28,161
43.4,28,017
51.9,28,029
8.0,28,039
72.3,28,049
30.3,28,101
14.7,28,145
74.0,28,125
17.1,28,139
36.9,28,035
8.1,28,045
23.8,28,071
60.2,28,055
43.7,28,087
73.3,28,083
71.2,28,157
24.6,28,047
61.2,28,065
31.1,28,085
38.3,28,123
47.8,28,159
56.9,28,163
35.8,28,009
36.0,28,037
54.4,28,061
29.2,28,067
30.9,28,095
74.0,28,133
19.3,28,155
56.6,28,001
59.6,28,025
37.8,28,031
76.0,28,053
1.0,29,123
0.6,29,229
0.9,29,217
4.7,29,195
2.8,29,147
2.4,29,041
0.5,29,079
0.8,29,141
0.6,29,223
0.6,29,017
7.5,29,031
1.9,29,205
1.1,29,225
0.4,29,005
1.5,29,013
0.3,29,015
0.0,29,035
0.3,29,057
0.6,29,115
0.5,29,091
4.3,29,101
0.6,29,105
0.2,29,125
2.7,29,161
6.7,29,165
4.5,29,187
2.0,29,003
2.3,29,033
1.0,29,061
0.5,29,103
4.1,29,127
0.3,29,151
0.4,29,181
2.1,29,219
6.1,29,007
0.8,29,043
3.3,29,077
0.9,29,081
0.7,29,185
3.4,29,001
1.6,29,199
2.9,29,211
0.3,29,045
0.9,29,099
3.3,29,111
15.7,29,143
0.3,29,157
1.3,29,173
1.7,29,177
24.1,29,189
0.2,29,209
0.2,29,009
8.8,29,019
0.0,29,039
0.3,29,055
1.2,29,093
2.7,29,117
3.8,29,135
0.1,29,149
3.2,29,159
1.8,29,186
5.9,29,175
9.7,29,069
0.7,29,071
5.3,29,089
23.6,29,095
0.4,29,131
12.3,29,169
0.3,29,171
1.2,29,213
2.3,29,215
5.6,29,021
0.5,29,025
4.3,29,027
3.6,29,037
1.9,29,049
6.4,29,053
0.0,29,059
0.7,29,075
0.1,29,085
1.9,29,113
24.2,29,133
3.5,29,137
1.0,29,145
0.0,29,153
7.6,29,163
4.4,29,183
0.6,30,017
0.2,30,041
0.0,30,075
0.3,30,067
0.3,30,085
0.4,30,005
0.0,30,051
0.0,30,083
0.2,30,099
0.2,30,101
1.4,30,025
0.0,30,019
0.0,30,045
0.6,30,093
0.7,30,023
0.2,30,043
0.0,30,055
0.0,30,107
0.1,30,087
0.0,30,011
1.2,30,021
0.1,30,007
0.3,30,047
0.4,30,073
0.6,30,111
0.1,30,081
0.1,30,105
0.2,30,027
0.1,30,061
0.0,30,069
0.2,30,089
0.0,30,109
0.0,30,059
0.4,30,009
0.4,30,029
0.0,30,071
0.7,31,001
4.0,31,109
0.4,31,011
0.7,31,149
0.0,31,007
0.0,31,163
0.2,31,147
0.2,31,093
0.1,31,089
0.1,31,065
0.4,31,073
1.0,31,151
3.9,31,153
0.3,31,173
1.2,31,177
0.4,31,015
0.0,31,031
0.9,31,053
0.6,31,059
0.2,31,069
0.9,31,091
0.8,31,123
1.5,31,127
0.5,31,159
0.0,31,171
4.7,31,043
0.3,31,181
0.8,31,003
0.4,31,023
0.1,31,035
0.2,31,041
0.7,31,067
0.5,31,081
0.1,31,099
0.9,31,101
1.5,31,119
0.3,31,135
0.3,31,155
1.8,31,179
0.0,31,103
0.3,31,107
1.4,31,111
0.2,31,139
0.5,31,165
0.6,31,025
0.3,31,051
0.2,31,057
0.5,31,077
2.5,31,079
0.4,31,131
0.7,31,145
1.9,31,045
0.1,31,033
6.2,31,047
0.0,31,117
0.5,31,125
1.4,31,167
0.5,31,175
0.8,31,083
0.0,31,009
1.1,31,019
0.2,31,049
0.1,31,087
0.5,31,141
0.5,31,169
0.4,31,013
2.4,32,001
0.7,32,005
4.4,32,027
1.1,32,009
0.4,32,013
2.5,32,021
5.3,32,033
0.6,32,007
3.7,32,017
2.4,32,023
0.8,32,029
2.3,32,031
11.5,32,003
1.8,32,510
1.0,32,019
0.8,33,005
1.3,33,013
1.2,33,009
0.8,33,015
0.7,33,001
0.8,33,019
2.8,33,011
0.9,33,017
2.9,33,007
0.5,33,003
7.1,34,025
2.3,34,037
19.3,34,011
39.8,34,013
3.1,34,029
10.3,34,015
13.2,34,033
11.4,34,031
19.3,34,007
6.0,34,003
4.4,34,041
12.4,34,017
16.7,34,005
3.4,34,027
0.6,35,039
1.3,35,047
1.8,35,057
3.6,35,035
1.1,35,006
1.3,35,019
0.0,35,003
1.4,35,029
0.7,35,031
0.5,35,055
0.7,35,017
0.5,35,007
1.6,35,015
0.0,35,033
1.5,35,037
0.9,35,027
3.9,35,025
1.0,35,049
0.6,35,051
0.4,35,053
1.9,35,013
1.7,36,095
11.4,36,067
4.3,36,019
4.9,36,099
2.9,36,079
5.8,36,033
2.5,36,069
18.3,36,081
1.6,36,101
0.8,36,041
3.3,36,115
2.6,36,013
32.6,36,047
14.8,36,061
0.7,36,107
4.3,36,011
6.2,36,073
1.7,36,091
12.3,36,087
4.4,36,021
0.8,36,049
7.2,36,063
14.7,36,119
1.8,36,025
3.1,36,031
2.0,36,057
11.7,36,059
10.2,36,085
1.2,36,097
4.1,36,109
1.0,36,017
1.5,36,023
6.0,36,045
6.2,36,065
7.9,36,103
4.5,36,121
6.1,36,015
1.1,36,075
2.1,36,077
2.9,36,117
12.5,36,001
5.7,36,007
13.4,36,029
1.8,36,053
8.4,36,105
2.2,36,037
10.8,36,071
35.7,37,079
0.4,37,121
34.1,37,041
4.9,37,027
8.1,37,035
21.7,37,049
57.3,37,065
20.8,37,085
3.3,37,089
30.3,37,095
31.3,37,119
56.5,37,131
16.0,37,159
50.1,37,181
5.7,37,053
11.4,37,179
26.1,37,067
39.2,37,127
35.0,37,017
2.2,37,055
50.7,37,185
39.5,37,195
61.1,37,015
33.7,37,073
0.2,37,075
42.0,37,117
1.7,37,115
18.2,37,137
24.5,37,143
5.2,37,149
6.3,37,151
18.5,37,157
4.3,37,169
47.3,37,187
14.0,37,029
2.1,37,043
36.9,37,051
